"iso1","iso2","group","community"
1.07853338475149,9.20997060659312,1,1
-2.36217693091731,4.43226992510619,1,1
-4.14059269869065,3.6029154646693,1,1
-1.28866985085833,7.25983300823388,1,1
-3.08621873085428,3.07241789292244,1,1
-3.15618341465075,4.20469633916156,1,1
-1.90830925659749,6.25153273996271,1,1
-2.88850528326447,3.83839710362466,1,1
-1.21131839494255,6.54489312185278,1,1
-0.641604052154025,7.23724541772269,1,1
-3.92310019224131,3.33779256300725,1,1
0.640368172339729,9.08376031921143,1,1
-1.33780589344237,6.72058922771279,1,1
1.08983420469775,10.4604449048743,1,1
-6.54153543382245,0.388388736877442,1,1
0.204096644770511,8.19965262415358,1,1
-2.33360224092929,5.55640730453752,1,1
-2.09680286844022,6.01013860782395,1,1
-2.07320102391032,5.95535762028065,1,1
-1.48214910735512,6.25914294072366,1,1
-5.73278875055276,0.00788141426209155,1,1
-2.36855968045906,6.10950691961568,1,1
-2.08728651419869,5.81602137836928,1,1
-0.452455302306143,8.40412398570864,1,1
-3.04839917246738,4.92993701849493,1,1
-2.16884133085951,5.58363277543757,1,1
-2.74220304203527,5.17906514650516,1,1
-1.7650491189656,6.26950214976686,1,1
-5.10612153025504,2.05145405500821,1,1
-5.90275376361007,1.12116531795468,1,1
-2.28186745812808,-1.97809646387244,2,1
-1.69130526108988,4.7183283324484,2,1
-1.9085895619657,0.195420055247881,2,1
-1.10154718533836,2.19630226049236,2,1
-2.82946492521169,0.256305689032694,2,1
-0.173926210519558,4.14372508882251,2,1
-0.153846363748589,2.38954608255311,2,1
-0.361315221774339,2.07459885902258,2,1
-1.31972634276286,4.28274438819982,2,1
-0.199764541274935,3.35210797682453,2,1
-0.80527589604208,4.36447617658911,2,1
-0.378319814844952,6.15723689030069,2,1
-1.08476000179262,1.87429267145417,2,1
-0.98123597674884,2.12887029863877,2,1
-3.15701584517425,-2.92431008663942,2,1
-1.73221441459522,4.27992300471042,2,1
-0.328414071197306,3.08939902932011,2,1
-1.1539723390678,2.27806322363383,2,1
-2.34784891091916,-0.852643370188685,2,1
-2.11238831134186,2.20541729116482,2,1
-1.7482683307567,3.88587487944302,2,1
0.67360076492772,5.9162366153565,2,1
-1.40800080151493,1.85099493846503,2,1
-1.82870980991242,-0.42897707394463,2,1
-3.13824188792575,1.55311846841044,2,1
